n_users,n_trips,events_per_trip,db,query,time_seconds,memory_mb
50000,100000,0,mongodb,query3,0.1714,368.96
50000,100000,0,mongodb,query4,0.1176,368.96
50000,100000,0,neo4j,load,29.6388,368.86
50000,100000,0,neo4j,query1,0.007,368.86
50000,100000,0,neo4j,query2,0.6265,368.86
50000,100000,0,spark_doc,query2,0.6668,368.24
50000,100000,0,spark_graph,pagerank,4.9392,365.09
50000,100000,0,spark_graph,connected_components,0.8791,365.09
50000,100000,2,postgres,load,58.7588,380.95
50000,100000,2,postgres,query1,1.8055,381.84
50000,100000,2,postgres,query2,0.4845,381.84
50000,100000,2,postgres,query3,1.7893,381.84
50000,100000,2,postgres,query4,0.934,381.86
50000,100000,2,mongodb,load,57.4353,377.93
50000,100000,2,mongodb,query1_lookup,27.5089,380.84
50000,100000,2,mongodb,query2,4.6568,380.96
50000,100000,2,mongodb,query3,0.2372,380.96
50000,100000,2,mongodb,query4,0.6513,380.96
50000,100000,2,neo4j,load,29.7937,381.1
50000,100000,2,neo4j,query1,0.0062,381.1
50000,100000,2,neo4j,query2,0.0116,381.1
50000,100000,2,spark_doc,query2,0.6147,383.07
50000,100000,2,spark_graph,pagerank,4.8889,378.7
50000,100000,2,spark_graph,connected_components,0.8949,378.7
50000,100000,5,postgres,load,109.163,462.88
50000,100000,5,postgres,query1,1.7903,462.91
50000,100000,5,postgres,query2,0.5017,462.93
50000,100000,5,postgres,query3,1.6204,462.93
50000,100000,5,postgres,query4,1.5952,462.93
50000,100000,5,mongodb,load,57.5595,472.68
50000,100000,5,mongodb,query1_lookup,27.035,473.3
